Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
IAmDhudd,with the clouds -_-,708,298,2385,WomanKing  great movie!!!!!,2022-09-25 04:34:24+00:00,2010-08-30 02:00:25+00:00
BethanyPearl5,"Los Angeles, CA",570,28,364,"Yes,  this is amazing ☺️WomanKing ",2022-09-25 04:25:13+00:00,2022-08-18 03:29:05+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,Nawi being 19 in this movie is crazy 😭 because she looks 12 WomanKing,2022-09-25 04:14:49+00:00,2010-08-07 20:25:55+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,Nanisca needed that victory WomanKing,2022-09-25 04:12:09+00:00,2010-08-07 20:25:55+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,I wish Malik and Nawi could’ve had a happy ending 😩WomanKing,2022-09-25 04:10:43+00:00,2010-08-07 20:25:55+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,I love this movie 😩WomanKing,2022-09-25 04:09:33+00:00,2010-08-07 20:25:55+00:00
StylinOnYu,,379,1231,201251,I gotta see WomanKing 🥹 likeeeeeee I gotta find the time to make that happen,2022-09-25 04:08:12+00:00,2010-01-08 05:12:13+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,Drown he ass! WomanKing,2022-09-25 04:05:20+00:00,2010-08-07 20:25:55+00:00
TrevonWes,"Los Angeles, CA",1839,7059,164978,Just saw WomanKing again and it was even better the second time. The depth of this story is beyond. Gina Prince-Bythewood created a masterpiece. Viola Davis’ authenticity as an actor knows no bounds. The supporting cast is incredible. An absolute must see. 🔥 ,2022-09-25 04:03:16+00:00,2011-01-24 03:29:01+00:00
tonetalks,"Los Angeles, CA",676,28120,20667,Studios do not do movies to break even. womanking  will be lucky to break $60-70 million domestically. And the global market will be limited. Studios like to make 3 times as much as full budget including marketing at the lowest. “US” did $175 mill domestically. boycottwomanking ,2022-09-25 04:02:16+00:00,2015-10-08 01:47:41+00:00
DrKNwan,"Connecticut, USA",348,459,577,😭 as a descendant of slaves and a mother WomanKing has me doubling down on selfdetermination   what a gift 🙏🏾,2022-09-25 03:59:36+00:00,2019-02-16 02:36:40+00:00
AmaJustinian,,171,155,1301,WomanKing  was incredible. Just really loved so many pieces about it that I can’t even put into words,2022-09-25 03:50:50+00:00,2019-05-11 21:02:39+00:00
TheeOddFellow,"Massachusetts, USA",109,91,9523,WomanKing not at all what I was expecting great movie. ,2022-09-25 03:48:54+00:00,2019-12-03 21:03:06+00:00
PogCrab,Bran/don,930,335,34002,"It’s so blatantly obvious that  nor the dipshit in the article actually watched this movie nor care about rewriting history in movies and I’m going to put out a video later this week explaining why, alongside my own review of the WomanKing ",2022-09-25 03:47:25+00:00,2022-04-25 03:20:09+00:00
kyleg_89,"Edmonton, Alberta, Canada",509,208,9276,Just watched WomanKing. Possibly the best film of ’s career. She was outstanding!!,2022-09-25 03:47:19+00:00,2010-05-05 17:57:14+00:00
BurnaGirlMo,,57,62,23167,WomanKing was a really good movie I hope mfs is supporting it!!!,2022-09-25 03:35:51+00:00,2020-12-19 17:43:52+00:00
Just_Man_Shit,"Funkytown ,Texas",864,553,41413,"WomanKing listen,this one got me. Omg !",2022-09-25 03:32:30+00:00,2010-12-14 09:07:24+00:00
JamalBrianDC,"New York, USA",838,1381,42644,WomanKing 10/10 recommend and  deserves all the flowers!,2022-09-25 03:21:42+00:00,2010-06-25 02:51:45+00:00
NylaaaaJah,"Frederiksted, Virgin Islands",968,1349,32592,Damn that is a lot of scars to be a warrior WomanKing,2022-09-25 03:21:14+00:00,2010-08-07 20:25:55+00:00
KiniBiqDeal,USA. InternationallyCAN.,1244,373,10658,It's one of the greatest movies I've watched. WomanKing,2022-09-25 03:17:19+00:00,2011-03-17 16:05:08+00:00
KiniBiqDeal,USA. InternationallyCAN.,1244,373,10658,That movie is going to have a part 2.WomanKing,2022-09-25 03:16:47+00:00,2011-03-17 16:05:08+00:00
Jay_FnHarris,Atlanta but from Chicago 😌,2526,13831,267290,The main character always look like she bout to cry Lmao WomanKing,2022-09-25 03:15:36+00:00,2020-05-29 18:17:50+00:00
4everRnbGenius,"Atlanta, GA",2322,3333,154831,Loved loved loved this movie. WomanKing,2022-09-25 03:08:57+00:00,2008-11-11 19:08:38+00:00
AugustLaveau,NOLA,1158,4152,48926,This movie was powerful! Every single person played their roles phenomenally. I felt so many emotions throughout. WomanKing ,2022-09-25 03:03:41+00:00,2018-03-09 23:49:34+00:00
bevmuh,"Somewhere, USA",621,184,21705, I just saw WomanKing and OMG you were soooo amazing! My husband and I applaud you and the co stars for a job well done! I want every Black woman to see this movie❤️❤️👏🏾👏🏾👏🏾😀😀,2022-09-25 02:58:18+00:00,2011-03-27 13:35:25+00:00
hfdavis,Occupied Anishinaabe Territory,4552,10153,117737,Give Viola Davis all the things this awards season. She was masterful in WomanKing !,2022-09-25 02:49:24+00:00,2008-12-24 03:50:43+00:00
thelsteve,"Chula Vista, CA",1527,1050,4438,If they don’t give  and this magnificent cast all the awards 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾 FANTASTIC MOVIE! Great cast; meaningful and POWERFUL! Go and see The Woman King✌🏾🖤 womanking ,2022-09-25 02:43:39+00:00,2009-03-28 03:04:09+00:00
LukaDuffie,Wakanda,188,714,6295,I checked out the WomanKing . Viola Davis is so versatile in these movie roles. I knew it when I watched HowToGetAwayWithMurder.,2022-09-25 02:38:04+00:00,2011-09-14 22:37:45+00:00
IminLov40267702,India,1,1,23,Womens ethnic wear visit us -&gt;   ethnic WomanKing women dress dealoftheday Sales EnoughIsEnough   fashionblogger FASHIONWEEK INDvsPAK2022 MumbaiNews Kolkata Bollywood BollywoodBeauty fashion Kolkata  DurgaPuja2022 DealOfTheDay ,2022-09-25 02:35:07+00:00,2022-09-05 10:32:29+00:00
Deevz_fj,"East Palo Alto, CA",488,574,19356,"“You are powerful, more than you ever know, do not give that power away” -Izogie WomanKing",2022-09-25 02:09:01+00:00,2009-06-17 18:16:17+00:00
Drs1AngryBMBC,,334,724,1271,Knock Kmock...Guess What is Stacy Abrams favorite homemade cooking oil?Whale Oil!StacyAbrams StacyAbramsGA Stacy blackwater blackgirl BlackGirlMagic BlackGirlsRock WomanKing WomanKingMovie KevinSamuels   _us ,2022-09-25 01:46:35+00:00,2022-09-03 21:49:57+00:00
CCDSL_,"New York, NY",2027,611,14930,Sheila Atim (Amenza) was a true friend! WomanKingMovie WomanKing,2022-09-25 01:34:20+00:00,2009-08-29 03:09:42+00:00
TheKhiddKsWorld,"Twin Cities, MN",459,306,2385,WomanKing Is A Must See!I just took my mother to see it for her birthday &amp; it was amazing!,2022-09-25 01:32:44+00:00,2012-09-29 16:37:21+00:00
prettymuchke,The Upside Down,95,23,1035,I feel like if you really watch The woman king you would see so many massages. One being even the strongest can have trauma. Two how even good people can turn own their own word. Three how greed can led to destruction. Plus so much more. WomanKing,2022-09-25 01:31:58+00:00,2022-06-21 16:16:11+00:00
fsmith827,San Francisco,4990,3779,58515,This weekend for sure.OnTheComeUp by  on … and WomanKing in theaters. Will. Make. Time.,2022-09-25 01:29:28+00:00,2013-10-27 14:21:11+00:00
CCDSL_,"New York, NY",2027,611,14930,LASHANA LYNCH!!! WomanKing,2022-09-25 01:28:42+00:00,2009-08-29 03:09:42+00:00
CCDSL_,"New York, NY",2027,611,14930,Lashana Lynch was a dream in WomanKing!,2022-09-25 01:27:06+00:00,2009-08-29 03:09:42+00:00
ofmercyandgrace,,46,34,15536,Loving  in this movie 🤣🤣 WomanKing,2022-09-25 01:24:32+00:00,2020-04-21 17:29:33+00:00
mundaneparade,she/her ,107,82,10636,WomanKing  just changed my life i’m so serious. Where’s my spear? where’s my blade?  + do you need another wife? ,2022-09-25 01:23:39+00:00,2019-04-01 15:05:46+00:00
MyDailyPosts,"Connecticut, USA",5946,8295,359,"Me, watching WomanKing and looking for where I can train to fight like that! ",2022-09-25 01:23:22+00:00,2011-12-19 23:13:54+00:00
Ramon_Pesante,"ÜT: 40.763179,-73.962612",1080,720,38390, Your performance in WomanKing is by far your best.,2022-09-25 01:22:37+00:00,2008-11-19 20:35:43+00:00
CCDSL_,"New York, NY",2027,611,14930,"Okay, Viola’s dance at the end of WomanKing deserves a sequel! She felt the spirit of the ancestors.",2022-09-25 01:21:41+00:00,2009-08-29 03:09:42+00:00
NoviMemoji,"Remote, USA",105,39,1949,Do I need to go see WomanKing,2022-09-25 01:21:34+00:00,2022-01-02 06:03:44+00:00
WisdomWhispers3,None Of Your Business ,2,3,72,WomanKing  best movie ever,2022-09-25 01:20:23+00:00,2022-03-28 18:53:48+00:00
blkgrlcto,"North Carolina, USA",386,77,186,WomanKing was EVERYTHING I wanted it to be and more. Definitely a must watch film.,2022-09-25 01:19:24+00:00,2019-10-31 06:37:35+00:00
DJ_PIECES,"ÜT: 41.484374,-71.541454",269,442,4684,Movie of the year! WomanKing WomanKingMovie,2022-09-25 01:11:07+00:00,2010-08-03 16:43:31+00:00
tyler_yarbs,"Mississippi, USA",672,543,3205,Talk about a badass intro 👏🏾👏🏾WomanKing,2022-09-25 01:10:32+00:00,2012-04-01 01:46:10+00:00
CharityKeza,"Key West, FL,🇷🇼st.croix",312,13253,8481,Viola Davis!!!!!!!!That’s the tweet WomanKing ,2022-09-25 01:08:41+00:00,2019-03-30 16:52:53+00:00
tammithomas,Maryland,4086,1531,8675,"Just so WomanKing, now settling down with ’ FindingMe. This is a very fine day. ❤️ ",2022-09-25 01:08:25+00:00,2009-08-23 01:10:32+00:00
DJ_PIECES,"ÜT: 41.484374,-71.541454",269,442,4684,A Must See! WomanKing WomanKingMovie   killed it! Great Cast! 👏🏽👏🏽,2022-09-25 01:06:31+00:00,2010-08-03 16:43:31+00:00
Deranged_Insane,"Adel, GA | Virginia Beach, VA",1449,1394,20167,Go watch the woman king. A must watch womanking mustwatch movietosee greatmovie derangedtheinsane timetogetderangedentertainment ,2022-09-25 01:05:39+00:00,2011-09-16 19:40:47+00:00
MECadet1,MA,531,127,17303,Watching WomanKing for the second time,2022-09-25 00:50:40+00:00,2011-05-15 13:40:55+00:00
mychalbella,International,341,391,3767,  just left again ... womanking,2022-09-25 00:46:44+00:00,2013-02-07 23:41:02+00:00
sonofbolivar,gullah geechee land,1433,1178,147024,Saw the WomanKing tonight! Everybody was amazing but special shout out to  and his 🔥🔥🔥100 Hokage energy! ,2022-09-25 00:46:22+00:00,2012-01-12 21:51:29+00:00
___deejay_,,275,616,2764,my son was so good at the movies he didn’t fuss not once 🥹 we loved that movie BEST movie of the year! WomanKing,2022-09-25 00:37:29+00:00,2014-08-17 02:28:07+00:00
davviion,"Charlotte, NC",123,113,272,i saw womanking today. i’m gonna need 3-5 business days to recover. yt ppl please tread carefully around me,2022-09-25 00:36:52+00:00,2019-03-12 00:57:47+00:00
ShaeImar,,732,312,6087,I might need to see WomanKing again…,2022-09-25 00:27:48+00:00,2017-09-20 20:11:09+00:00
Drea_Badu,"Texas, USA",664,105,7472,WomanKing such an  amazing movie,2022-09-25 00:18:27+00:00,2015-04-30 06:26:21+00:00
Carvin601,TheBurg,802,817,26674,Went to see WomanKing definitely a great movie. ⭐️⭐️⭐️⭐️⭐️,2022-09-25 00:17:09+00:00,2013-06-08 02:33:52+00:00
eSi_nArm,"Accra,Ghana",542,662,3764,"The unecessary Character killing in movie ,Izogie didn’t have to die,she was my favorite 🙄WomanKing",2022-09-25 00:13:46+00:00,2010-07-24 20:17:28+00:00
KolaBoof3,NY NY,97,5322,105292," NOPE.All of the White Establishment are saying VIOLA DAVIS shouldn't be awarded because her film is inaccurate &amp; blah, blah, blah.She will be nominated.  But the controversy is going to cost her the award.She SO deserves it, though. WomanKing",2022-09-25 00:08:45+00:00,2009-08-13 23:58:49+00:00
DeseNuts__,sc:og_skywalker93,1836,1864,64286, was the truth in WomanKing everybody was,2022-09-25 00:00:24+00:00,2010-12-27 06:54:47+00:00
ShechangesE,,81,109,7439,It's on SaturdayMotivation is ON and SO is the HOTTEST EMPOWERMENT SWAG in the GALAXYProtectBlackWomen BlackMaternalHealth BlackMaternalMortality Buffalo Uvalde GunControlNow PoliceReform Chicago VoteBlue2022 SupportBlackBusiness WomanKing ,2022-09-25 00:00:02+00:00,2019-01-05 22:05:31+00:00
classynogin,"Louisiana, USA",798,388,42307,WomanKing Check out Roderick Minger's video! TikTok ,2022-09-24 23:59:04+00:00,2009-06-03 17:54:09+00:00
lexnotnice,USA,34,6,313,The WomanKing is the BEST movie of this decade !!! I Love it so much even tho I cried the whole movie lol it was beautiful 🤎,2022-09-24 23:55:28+00:00,2018-12-11 11:52:35+00:00
ASBNBYN,Earth (Send Help),410,815,106292,"The way y'all didn't tell me about the near naked man in WomanKing ...I'm not Complaining, it was a nice surpriseA kind of reverse Artemis, if you will",2022-09-24 23:48:36+00:00,2020-06-08 04:45:19+00:00
QueenBeBe25,"Des Moines, IA",481,246,6249,WomanKing is everything I expected 🤗 ViolaDavid was epic the cast was AWMAZING!!!,2022-09-24 23:44:46+00:00,2017-03-12 05:57:03+00:00
FryerDeidraL1,DMV,313,95,1102,Loved this movie it had me in all my emotions and my mind chasing ideas and new concepts ❤️❤️❤️ A glimpse of African History tied to the enslave(d)/(ers)  WomanKing violadavis  GinaPrinceBlythwood  Go support this Movie ,2022-09-24 23:39:20+00:00,2021-01-08 22:02:42+00:00
BlackestBaller,"PG County, MD",447,1183,8558,I just seen WomanKing twice I can’t choose what other people do I can only choose what I do and I choose to support my people.,2022-09-24 23:38:52+00:00,2015-11-20 00:39:44+00:00
uniquelynatrice,"Fuquay-Varina, NC",56,18,112,Why y’all didn’t warn me Harden from After is in WomanKing  … Biggest jump scare of my life 😂,2022-09-24 23:37:44+00:00,2017-03-24 17:43:20+00:00
SymonePHarris,New York,3194,358,22314,WomanKing  was so damn good. Always a good  sign when grandma stays awake for the entire movie.,2022-09-24 23:33:53+00:00,2010-07-22 15:07:02+00:00
Simply_curly3,,320,434,19261,Went to go see WomanKing  and I personally loved it!!,2022-09-24 23:30:08+00:00,2012-03-10 17:54:21+00:00
KissedbyJ,USA,117,5,79,That wasn't just a movie. WomanKing  is a MOVEMENT. Salute to matriarchy,2022-09-24 23:27:31+00:00,2019-05-05 16:59:02+00:00
__Cheyyennee__,"Conroe, TX",800,1015,6082,Watching this for the second time in the last 24 hours 😩🥰 WomanKing,2022-09-24 23:24:21+00:00,2018-04-12 17:34:32+00:00
4everRnbGenius,"Atlanta, GA",2322,3333,154831,Time to get into this movie. WomanKing ,2022-09-24 23:23:27+00:00,2008-11-11 19:08:38+00:00
theycallmedaej,"- my Bible, my Bag, & my Bed🤍",5014,5405,323362,John Boyega so fine 😭😭😭 WomanKing,2022-09-24 23:19:23+00:00,2012-10-10 23:50:46+00:00
pimppinkdurag,in yo mama’s kitchen,1511,1567,19150,WomanKing with the kiddos ✨,2022-09-24 23:17:05+00:00,2009-12-16 18:23:58+00:00
PrincewiIIChuka,,1920,9209,59003,Agojie! Usu! WomanKing is solidLove to see African stories on the big screen❤️,2022-09-24 23:10:04+00:00,2011-10-12 11:02:38+00:00
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,"Me: Running to see WomanKing again, again and again...Movie of The Year... 🔥 🔥 🔥...Thank You!  ",2022-09-24 23:10:02+00:00,2012-10-01 05:46:58+00:00
datprettypoodle,,854,928,59429,I need to see WomanKing.,2022-09-24 23:04:30+00:00,2012-04-05 14:10:34+00:00
B_Jones90,,1189,527,28536,WomanKing was sooooo good!!  and the supporting actresses were absolutely phenomenal 🖤,2022-09-24 22:58:26+00:00,2010-01-27 05:18:03+00:00
Melimel540,SoCal,2097,2902,98676,movies and chill 🥰 WomanKing ,2022-09-24 22:57:20+00:00,2012-04-15 02:17:40+00:00
EastVillageSnap,,1050,1374,14475, Let’s go! WomanKing,2022-09-24 22:56:06+00:00,2012-01-14 23:30:11+00:00
AmazingNerdShow,"Chicago, IL",9288,11268,119663,New! Ep 246! This week we breakdown Ep 1-3 of Andor  &amp; Ep 6 of SheHulk  ! We have reviews for WomanKing  &amp; HouseOfTheDragon ! We talk MCU &amp; Horror news! Plus we react to AEWGrandSlam! PodernFamily podcast marvel starwars podbean ,2022-09-24 22:51:05+00:00,2017-11-27 21:30:50+00:00
Headbobba,Carpe diem 🌹,3328,3331,107088,"Apart from the impressive fight sequences, what set womanking out for me, was the creative  incorporation of contemporary dance steps into movie. Absolute genius",2022-09-24 22:44:23+00:00,2009-05-15 17:48:43+00:00
LatifahLives,,853,1239,46796,"WomanKing was a so beautiful, well written &amp; executed 🥹10/10 Movie ⭐️",2022-09-24 22:38:04+00:00,2009-08-03 21:12:56+00:00
breezejef,Alabama to Los Angeles,575,798,13690,It’s the fact  liked my previous tweet about Woman King  … idk what she doing on a Sat but I hope it involves popping champagne bottles to her success sisdidthat WomanKing,2022-09-24 22:33:58+00:00,2009-03-11 17:04:19+00:00
Me_No_Careeeeee,Somewhere being awesome -NC3,612,1006,67106,"WomanKing was very emotional for me. I laughed, cried and was angered. The entire cast did a phenomenal job.",2022-09-24 22:15:24+00:00,2015-05-31 00:19:32+00:00
citchon,detroit✈️Minny✈️ATL,96,814,43941,"I DID NOT expect to be crying!! Happy tears, sad tears, proud tears. Dang! Bravo! WomanKing",2022-09-24 22:12:43+00:00,2008-04-17 14:14:45+00:00
perrypoppinz,,72,59,3172,violadavis  omg that woman truly is the woman king. She is amazing in womanking,2022-09-24 22:11:56+00:00,2021-11-03 04:58:45+00:00
perrypoppinz,,72,59,3172,"WomanKing is the best fucking movie I have seen in a long time. Be prepared to cry like a bitch though. EVERYONE in that film deserves an award. Watching strong black women kick ass, I’ll never get enough.",2022-09-24 22:06:53+00:00,2021-11-03 04:58:45+00:00
MadeinMenlo,Sunny California,103,422,22957,  Narrative of turning Dahome intogood guys is the equivalent of takingNAZI's + Adolf Hitler + saying theywere there to liberate peopleHow would that sit with you  ✡️WomanKing ViolaDavisDo not deserve respectbut Condemnation  ,2022-09-24 21:59:17+00:00,2013-06-19 15:16:43+00:00
ThegymLADy,,32,9,1084,Just saw womanking  WOW. Bravo! 🏆What an amazing cast. 👏🏾👏🏾👏🏾🎬 what an amazing movie!🤎🤎🤎🤎🤎 Ignore calls to boycott... they obviously have not seen it. You'll have to see for yourself. 🔥🔥🔥 ,2022-09-24 21:54:26+00:00,2020-04-18 01:10:12+00:00
iam_jeancolomb,,181,96,771,"Izogie character is just pure talent. That light in her eyes, the way she lead the newbies, her humor, i just loved her.womanking",2022-09-24 21:50:33+00:00,2015-08-27 07:36:56+00:00
AGHNN867,"Washington, DC",601,102,8359,"Just watched WomanKing and it was fabulous. Viola Davis, Lashanna Lynch... Absolute queens but imma need  to drop that eye shadow pallette because the eye makeup in that movie was legendary",2022-09-24 21:27:35+00:00,2020-11-07 17:17:47+00:00
JusCallMeNiecey,"Hinesville, GA",789,2574,50314,I haven’t heard not 1 yt person speak on the Africans selling other tribes into slavery until WomanKing came out and now they’re historians and shifting the blame ! 🤨,2022-09-24 21:09:49+00:00,2010-11-02 14:50:40+00:00
BeliciousMuse,"Johannesburg, South Africa",515,1016,4067,womanking screening   womanking thewomanking  thewomankingmovie   ,2022-09-24 21:03:11+00:00,2012-07-17 06:59:12+00:00
BKearney_,"Chicago, IL",220,110,3934,Spoilers without context womanking ,2022-09-24 21:02:13+00:00,2018-09-01 15:34:55+00:00
Chisox4ever,"Chicago, IL",1057,754,45461,It's a major flop WomanKing BoycottWomanKing  ,2022-09-24 20:01:46+00:00,2010-06-03 20:11:37+00:00
xxvanii,outchea ,1699,1194,25171,"womanking  was far better then I expected, and I already had high expectations..I don’t remember the last time i had a cinematic experience like that. Definitely seeing it again",2022-09-24 19:56:25+00:00,2013-04-28 14:37:52+00:00
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,Movie of the year...WomanKing WomanKingMovie ,2022-09-24 19:37:11+00:00,2012-10-01 05:46:58+00:00
KerinaFoster,Saint Kitts West Indies,82,52,7717,womanking WomanKingMovie celebrates it. I am going to the movies when it hit skn. Need to find out if it has already asap. Oh my idk. kerinafmurray,2022-09-24 19:26:48+00:00,2010-09-12 03:55:08+00:00
tonetalks,"Los Angeles, CA",676,28120,20667,  This segment is nonsense. boycottwomanking Also this man worked on the movie of course he’ll say what he needs to he is biased he was the expert for them on the womanking film. If you need specifics I’ll help. ,2022-09-24 19:26:14+00:00,2015-10-08 01:47:41+00:00
ByClaytonDavis,NYC - JC - LA,998,24534,98229,"WomanKing Stars Viola Davis and Julius Tennon Talk Box Office Victory “Let’s be clear, Hollywood is about commerce. If we’re going to continue to do these kinds of movies, they need to make money. We understand that.”  via ",2022-09-24 18:49:50+00:00,2009-07-25 17:12:15+00:00
OliviaSose,"Port Harcourt, Nigeria",1646,1715,33577,"One thing about horses, they would leave you and run away 🤣🤣🤣🤣🤣🤣🤣🤣WomanKing",2022-09-24 18:47:07+00:00,2012-10-12 13:42:21+00:00
noliejusfax,Around the way,233,703,84792,The love and support womanking has received and people buying out theatres actually warms my heart🥹🥺,2022-09-24 18:47:01+00:00,2017-11-12 16:06:34+00:00
OliviaSose,"Port Harcourt, Nigeria",1646,1715,33577,I know it is a movie but even I was scared when they killed white men Fuck!!!!!!!!WomanKing,2022-09-24 18:45:53+00:00,2012-10-12 13:42:21+00:00
LAQueenpen,California,62,37,711,There’s a good amount of movies that are directed by women in 2022. There better be at least three of them that gets nominated for an Oscar! 😤DontWorryDarling WomanKing TillMovie SheSaid CatherineCalledBirdy wherethecrawdadssing TheStarsAtNoon Persuasion,2022-09-24 18:45:15+00:00,2011-11-22 20:27:06+00:00
rhaplord,,390,7155,84628,"WomanKing was an excellent movie, while the polarized reviews punctuated by half-truths and pseudo-history have muddied the already false perception of Dahomey's history, its a good thing that they are now making big-budget movies about African History",2022-09-24 18:42:54+00:00,2013-02-01 02:51:53+00:00
ammielv,NG 🔃 GH,803,931,11188,"Knowing all the effort that Viola, Thuso etc put into ""becoming"" Agojie, I appreciate every jump, every spear thrown.. WomanKing",2022-09-24 18:40:50+00:00,2011-11-12 03:06:53+00:00
Akindimeji_,"Lagos, Nigeria",935,682,21742,Watched the WomanKing today and boy it was sweet. John Boyega is actually a great actor 😂😂,2022-09-24 18:38:17+00:00,2016-03-13 16:04:05+00:00
MsNadaNee,New Orleans ;La to Atlanta; Ga,433,240,46904,WomanKingYep! That's the tweet... ,2022-09-24 18:35:58+00:00,2012-10-01 05:46:58+00:00
dangdquan,"Charlotte, NC",733,1702,15115,still ain’t seen WomanKing,2022-09-24 18:35:54+00:00,2012-04-23 15:21:07+00:00
NyxGreenfyre,"Chicago, IL",2928,1041,10117, Is _bello in hiding?Why isn’t she being interviewed? Did she intentionally change the story of the Dahomey to guarantee a box office smash?I’m trying to understand why  would do WomanKing which is almost all fiction.They weren’t heroes. This story is whitewashed,2022-09-24 18:33:41+00:00,2018-01-28 23:14:39+00:00
hollyrock711,"Connecticut, USA",790,77,253,"I'm sorry  these theaters not playing fair. We just had to leave because they were showing  in a ""sensory"" theater. The lights don't go off as management put it. It only held 44 people. Only 4 showings today.nexttheaterwegotyouWomanKing",2022-09-24 18:31:17+00:00,2014-02-10 23:02:02+00:00
kirstie4848,"England, United Kingdom",1733,776,25706,Just so you know. Release date for Woman King in the UK  🇬🇧🇬🇧👑👑ViolaDavis WomanKing WomanKingMovie ,2022-09-24 18:27:26+00:00,2010-01-13 20:57:14+00:00
OliviaSose,"Port Harcourt, Nigeria",1646,1715,33577,These women were brutal I fucking love it 🌟🌟womanking,2022-09-24 18:22:37+00:00,2012-10-12 13:42:21+00:00
carolekingnyc,Florida • New York  (she/her),5002,2494,132230, Was it a packed theater?  Did people mask up?  WomanKing MaskingUpAgain,2022-09-24 18:12:42+00:00,2013-06-20 19:09:58+00:00
OliviaSose,"Port Harcourt, Nigeria",1646,1715,33577,Why did she tell her at that moment 😪😪😪So sad 😪😪😪WomanKing,2022-09-24 18:12:00+00:00,2012-10-12 13:42:21+00:00
PogCrab,Bran/don,930,335,34002,Got me some Oreo popcorn to enjoy the WomanKing ,2022-09-24 18:11:48+00:00,2022-04-25 03:20:09+00:00
mmmerrimac,"Apex, NC",846,324,92745," Yes, and I loved it. Such powerful themes and amazing acting (Viola Davis!). Gina Prince-Bythewood has done a magnificent job bringing this story to life. WomanKing",2022-09-24 18:10:07+00:00,2018-02-04 23:43:45+00:00
RyanKatayi,"New York, USA",2639,16100,30469,Should i watch WomanKing now or later? Choices Choices🥺,2022-09-24 18:07:06+00:00,2012-08-22 00:02:41+00:00
SamanhattanPR,Global,946,275,3367,"WomanKing is so intense I needed a break for my anxiety. My heart is beating out of my chest. 😅I mean that’s a good thing, but I need to watch from home on the couch. 😩 am I getting old?",2022-09-24 18:04:29+00:00,2012-12-06 19:37:38+00:00
DMstreaming,,562,411,3589,The way I've been so hype for NopeFilm and WomanKing that I FORGOT WakandaForever was coming out???? Its really Black Autmn and I love that for us 🙌🏾🖤🍂 ,2022-09-24 18:04:19+00:00,2020-08-21 06:54:50+00:00
dr_zaku,,140,340,310,My favorite thing about watching  …there were no laid edges! Just happy 4C -4A looking back at me. Just curled and free. This brought me sooo much joy 🥹. WomanKing violadavis,2022-09-24 18:00:51+00:00,2020-03-29 18:26:46+00:00
OliviaSose,"Port Harcourt, Nigeria",1646,1715,33577,This guy slave trade made the king as rich as the Queen of England Such a lie 🤣🤣🤣🤣🤣WomanKing,2022-09-24 18:00:06+00:00,2012-10-12 13:42:21+00:00
landis_lain,"Michigan, USA",5003,2871,97239," Scottish Warriors killed millions and pillaged and raped like every other warrior. That’s the nature of warriors; following orders and committing atrocities in the name of the king, Queen or country. The movie Braveheart is art as is WomanKing Boycott all war and warriors",2022-09-24 17:56:33+00:00,2015-12-13 21:32:11+00:00
theycallmedaej,"- my Bible, my Bag, & my Bed🤍",5014,5405,323362,Finna see what Woman King is all about… WomanKing,2022-09-24 17:53:22+00:00,2012-10-10 23:50:46+00:00
2blessed2nv,"Anytown, USA",4721,3798,63921, This was a great space as always. Thank you! I’m encouraged by spaces like these that are a call to action for democracy. Apologies I left early but I had a good excuse: I WENT TO SEE WomanKing with a  group of forward thinking women! It was the perfect ending to my day!,2022-09-24 17:50:19+00:00,2011-05-17 23:26:35+00:00
DerMightyBoosh,"Chicago, IL",1315,261,10549,"Box office eaten so good the WomanKingMovie    competition had to call Kim Kardashian West to try and catch up.""Save them social media Lady Jesus🙏🏾🛐!"" But probably not WomanKing    Eats Still🧘🏾‍♀️🤘🏾🤘🏾🤣🤣🤣 OoooF✊🏾 ",2022-09-24 17:49:55+00:00,2009-05-01 01:20:24+00:00
Two_Cams25,"Baltimore, Maryland",4831,2103,458643,2 wks in w/  STILL on top of the box office. Wait for what'll happen when BlackPantherWakandaForever hits theaters in November. TheWomanKing WomanKingMovie WomanKing ,2022-09-24 17:49:01+00:00,2014-01-30 17:19:42+00:00
IVvalentine,Universal,267,421,29336,So after ya'll watch WomanKing you gotta check out AMINA.,2022-09-24 17:42:51+00:00,2011-06-18 15:51:30+00:00
BukolaEpps,,288,543,39247,Who wants to go on a date with me to see WomanKing everybody is raving about it and I don’t wanna go by myself because then I can’t talk about it to anyone afterwards 😩😩😩,2022-09-24 17:42:20+00:00,2010-07-29 01:53:17+00:00
SBBFilm,,248,356,29712,Lashana Lynch absolutely commanded the screen in a way I'd never seen her do before. Maybe I just wasn't paying attention. But she did that shit. Go see WomanKing ,2022-09-24 17:27:40+00:00,2021-02-11 00:16:34+00:00
